STOP_ID,STOP_NAME,latitude,longitude,TICKETZONE,ROUTEUSSP,geometry,
19871,Heathmont Railway Station (Heathmont),-37.828322,145.244555,2,Belgrave,c(2521529.30797199, 2408052.90465044)
19872,Highett Railway Station (Highett),-37.948425,145.041872,2,Frankston,c(2503680.76198803, 2394749.41706286)
19873,Glen Waverley Railway Station (Glen Waverley),-37.879504,145.162058,2,Glen Waverley,c(2514257.23752885, 2402387.77603534)
19874,Syndal Railway Station (Glen Waverley),-37.87623,145.14978,2,Glen Waverley,c(2513177.66483404, 2402752.92924363)
19875,Mount Waverley Railway Station (Mount Waverley),-37.875255,145.128056,2,Glen Waverley,c(2511266.61930475, 2402863.93038692)
19876,Lilydale Railway Station (Lilydale),-37.755518,145.34771,2,Lilydale,c(2530639.79234407, 2416104.84144181)
19877,Mooroolbark Railway Station (Mooroolbark),-37.784749,145.312402,2,Lilydale,c(2527517.90512017, 2412871.44476929)
19878,Croydon Railway Station (Croydon),-37.795437,145.280598,2,Lilydale,c(2524713.03132544, 2411693.95071926)
19879,Ringwood East Railway Station (Ringwood East),-37.811968,145.250191,2,Lilydale,c(2522030.24263652, 2409866.69824958)
19880,Pakenham Railway Station (Pakenham),-38.080614,145.486379,2,Pakenham,c(2542674.49494992, 2379968.59758622)
19881,Officer Railway Station (Officer),-38.066146,145.410987,2,Pakenham,c(2536066.69861108, 2381605.70823798)
19882,Beaconsfield Railway Station (Beaconsfield),-38.050831,145.366074,2,Pakenham,c(2532131.92362569, 2383321.74415263)
19883,Berwick Railway Station (Berwick),-38.040408,145.345726,2,Pakenham,c(2530350.13584144, 2384485.35426277)
19884,Narre Warren Railway Station (Narre Warren),-38.027809,145.303969,2,Pakenham,c(2526688.95935655, 2385896.32450161)
19885,Hallam Railway Station (Hallam),-38.01774,145.269777,2,Pakenham,c(2523690.07441114, 2387023.00471216)
19886,Cranbourne Railway Station (Cranbourne),-38.099537,145.280599,2,Cranbourne,c(2524613.60332366, 2377940.85522628)
19887,Merinda Park Railway Station (Cranbourne North),-38.079,145.263511,2,Cranbourne,c(2523121.04286746, 2380224.76535032)
19888,Dandenong Railway Station (Dandenong),-37.989968,145.209725,2,"Pakenham,Cranbourne",c(2518423.61325917, 2390118.87021848)
19889,Yarraman Railway Station (Noble Park),-37.978255,145.1916,2,"Pakenham,Cranbourne",c(2516834.06524462, 2391422.32130685)
19890,Noble Park Railway Station (Noble Park),-37.966628,145.176325,2,"Pakenham,Cranbourne",c(2515494.416052, 2392715.45302026)
19891,Sandown Park Railway Station (Springvale),-37.956505,145.162826,2,"Pakenham,Cranbourne",c(2514310.17126025, 2393841.16370857)
19892,East Camberwell Railway Station (Camberwell),-37.825894,145.06819,1,"Lilydale,Belgrave",c(2506003.64457052, 2408347.88993457)
19893,Canterbury Railway Station (Canterbury),-37.824485,145.081224,"1,2","Lilydale,Belgrave",c(2507151.24577619, 2408503.3654802)
19894,Chatham Railway Station (Surrey Hills),-37.8243,145.088648,"1,2","Lilydale,Belgrave",c(2507804.84496184, 2408523.31943212)
19895,Surrey Hills Railway Station (Surrey Hills),-37.824148,145.098775,"1,2","Lilydale,Belgrave",c(2508696.42992602, 2408539.31290869)
19896,Mont Albert Railway Station (Mont Albert),-37.819427,145.10553,"1,2","Lilydale,Belgrave",c(2509291.7072079, 2409062.64138173)
19897,Laburnum Railway Station (Blackburn),-37.82078,145.140703,2,"Lilydale,Belgrave",c(2512388.1939931, 2408908.47347946)
19898,Blackburn Railway Station (Blackburn),-37.820071,145.150014,2,"Lilydale,Belgrave",c(2513208.074143, 2408985.91399357)
19899,Nunawading Railway Station (Nunawading),-37.820428,145.175237,2,"Lilydale,Belgrave",c(2515428.69081217, 2408942.49434982)
19900,Mitcham Railway Station (Mitcham),-37.818087,145.192892,2,"Lilydale,Belgrave",c(2516983.60329332, 2409199.30888994)
19901,Heatherdale Railway Station (Ringwood),-37.818835,145.21355,2,"Lilydale,Belgrave",c(2518802.22665594, 2409112.4087425)
19902,Ringwood Railway Station (Ringwood),-37.81566,145.229474,2,"Lilydale,Belgrave",c(2520205.10097524, 2409461.53251032)
19903,Auburn Railway Station (Hawthorn East),-37.822398,145.045844,1,"Belgrave,Lilydale,Alamein",c(2504036.5987498, 2408737.07706051)
19904,Glenferrie Railway Station (Hawthorn),-37.821467,145.036439,1,"Belgrave,Lilydale,Alamein",c(2503208.62667298, 2408840.77003885)
19905,Hawthorn Railway Station (Hawthorn),-37.821826,145.022899,1,"Belgrave,Lilydale,Alamein",c(2502016.55081229, 2408801.29605922)
19906,Burnley Railway Station (Burnley),-37.82756,145.007555,1,"Belgrave,Glen Waverley,Lilydale,Alamein",c(2500665.61858679, 2408165.10964267)
19907,East Richmond Railway Station (Richmond),-37.8264,144.997066,1,"Belgrave,Glen Waverley,Lilydale,Alamein",c(2499742.23471646, 2408293.879223)
19908,Richmond Railway Station (Richmond),-37.824074,144.990164,1,"Belgrave,Cranbourne,Frankston,Glen Waverley,Lilydale,Pakenham,Sandringham,Alamein",c(2499134.59853522, 2408551.99170334)
19909,Heyington Railway Station (Toorak),-37.834672,145.022635,1,Glen Waverley,c(2501992.9795649, 2407375.55412061)
19910,Kooyong Railway Station (Kooyong),-37.839929,145.033552,1,Glen Waverley,c(2502953.74506398, 2406791.79580089)
19911,Tooronga Railway Station (Malvern),-37.849366,145.041734,1,Glen Waverley,c(2503673.46489033, 2405744.11624762)
19912,Gardiner Railway Station (Glen Iris),-37.853279,145.051655,1,Glen Waverley,c(2504546.34670581, 2405309.38569624)
19913,Springvale Railway Station (Springvale),-37.949509,145.153452,2,"Pakenham,Cranbourne",c(2513487.6037862, 2394619.04223368)
19914,Westall Railway Station (Clayton South),-37.938491,145.138833,2,"Pakenham,Cranbourne",c(2512204.51611494, 2395843.93855372)
19915,Clayton Railway Station (Clayton),-37.924683,145.120534,2,"Pakenham,Cranbourne",c(2510597.88570027, 2397378.71721056)
19916,Huntingdale Railway Station (Oakleigh),-37.911017,145.102364,"1,2","Pakenham,Cranbourne",c(2509002.01365129, 2398897.41250917)
19917,Oakleigh Railway Station (Oakleigh),-37.900372,145.088308,"1,2","Pakenham,Cranbourne",c(2507767.09316922, 2400080.15835649)
19918,Hughesdale Railway Station (Hughesdale),-37.894881,145.077635,"1,2","Pakenham,Cranbourne",c(2506828.92206256, 2400690.42827114)
19919,Murrumbeena Railway Station (Murrumbeena),-37.890198,145.067375,1,"Pakenham,Cranbourne",c(2505926.8717543, 2401210.88311957)
19920,Carnegie Railway Station (Carnegie),-37.886241,145.058575,1,"Pakenham,Cranbourne",c(2505153.07240956, 2401650.5891066)
19921,Werribee Railway Station (Werribee),-37.899378,144.661118,2,Werribee,c(2470195.99107241, 2400141.03967432)
19922,Hoppers Crossing Railway Station (Hoppers Crossing),-37.883276,144.700955,2,Werribee,c(2473694.00242007, 2401939.94425254)
19923,Laverton Railway Station (Laverton),-37.863694,144.772617,"1,2",Werribee,c(2479992.78602267, 2404130.77666682)
19924,Aircraft Railway Station (Laverton),-37.866606,144.760809,2,Werribee,c(2478954.59894798, 2403805.025399)
19925,Westona Railway Station (Altona),-37.865163,144.813494,"1,2",Werribee,c(2483589.94513153, 2403975.55365444)
19926,Altona Railway Station (Altona),-37.867148,144.829645,"1,2",Werribee,c(2485011.42979772, 2403757.89826333)
19927,Seaholme Railway Station (Seaholme),-37.867842,144.840958,1,Werribee,c(2486006.95789271, 2403682.59448949)
19928,Westgarth Railway Station (Northcote),-37.780621,144.999233,1,Hurstbridge,c(2499932.95198471, 2413374.74105271)
19929,Dennis Railway Station (Northcote),-37.779187,145.008242,1,Hurstbridge,c(2500726.55263878, 2413533.86992938)
19930,Fairfield Railway Station (Fairfield),-37.779171,145.016905,1,Hurstbridge,c(2501489.67927784, 2413535.53702849)
19931,Alphington Railway Station (Alphington),-37.778394,145.031255,1,Hurstbridge,c(2502753.79437841, 2413621.45960446)
19932,Darebin Railway Station (Ivanhoe),-37.774963,145.038476,1,Hurstbridge,c(2503390.07328151, 2414002.01571903)
19933,Ivanhoe Railway Station (Ivanhoe),-37.768897,145.045425,"1,2",Hurstbridge,c(2504002.54082994, 2414674.98287071)
